--------> Aur packages <-------

xorg-server-common 21.1.10-1
xorg-server-devel 21.1.10-1
xorg-server-xephyr 21.1.10-1
xorg-server-xnest 21.1.10-1
xorg-server-xvfb 21.1.10-1
xorg-sessreg 1.1.3-1
xorg-setxkbmap 1.3.4-1
xorg-smproxy 1.0.7-1
xorg-util-macros 1.20.0-2
xorg-x11perf 1.6.2-1
xorg-xauth 1.1.2-1
xorg-xbacklight 1.2.3-3
xorg-xcmsdb 1.0.6-1
xorg-xcursorgen 1.0.8-1
xorg-xdpyinfo 1.3.4-1
xorg-xdriinfo 1.0.7-1
xorg-xev 1.2.5-1
xorg-xgamma 1.0.7-1
xorg-xhost 1.0.9-1
xorg-xinit 1.4.2-1
xorg-xinput 1.6.4-1
xorg-xkbcomp 1.4.6-1
xorg-xkbevd 1.1.5-1
xorg-xkbutils 1.0.5-1
xorg-xkill 1.0.6-1
xorg-xlsatoms 1.1.4-1
xorg-xlsclients 1.1.5-1
xorg-xmodmap 1.0.11-1
xorg-xpr 1.1.0-1
xorg-xprop 1.2.6-1
xorg-xrandr 1.5.2-1
xorg-xrdb 1.2.2-1
xorg-xrefresh 1.0.7-1
xorg-xset 1.2.5-1
xorg-xsetroot 1.1.3-1
xorg-xvinfo 1.1.5-1
xorg-xwayland 23.2.3-1
xorg-xwd 1.0.9-1
xorg-xwininfo 1.1.6-1
xorg-xwud 1.0.6-1
xorgproto 2023.2-1
xvidcore 1.3.7-2
xz 5.4.5-1
yarn 1.22.21-1
yay 12.2.0-1
zeromq 4.3.5-2
zimg 3.0.5-1
zip 3.0-11
zlib 1:1.3-2
zstd 1.5.5-1
zxing-cpp 2.2.1-1


--------> Yay packages <-------

android-studio 2023.1.1.26-1
flutter 3.16.3-1
github-desktop-bin 3.3.6_linux3-1
google-chrome 120.0.6099.129-1
insomnia 2023.5.8-2
libvterm01 0.1.4-2
mongodb-bin 7.0.4-1
mongodb-compass 1.41.0-1
mongosh-bin 2.1.1-1
nvm 0.39.7-1
qpdfview 0.5.0-2
react-native-debugger-bin 0.14.0-1
rstudio-desktop-bin 2023.12.0.369-1
spotify 1:1.2.26.1187-1
ttf-scientifica 2.3-0
visual-studio-code-bin 1.85.1-1
wlroots0.15 0.15.1-5
wlroots0.15-debug 0.15.1-5
yay 12.2.0-1
